Price,Close,High,Low,Open,Volume
Ticker,PEP,PEP,PEP,PEP,PEP
Date,,,,,
2022-12-15,169.78292846679688,172.1000832181331,168.03093761755684,171.4124637836159,6127800
2022-12-16,169.8677215576172,170.6683681310137,168.11573047304262,169.62282483259472,15708100
2022-12-19,170.80963134765625,172.8159474177415,169.877129580885,170.35750884338185,4447800
2022-12-20,170.70603942871094,171.66681244453082,170.15030395173082,171.26178927840812,3249000
2022-12-21,171.9022979736328,173.01376894655803,170.86616878470483,171.00746696831354,4236900
2022-12-22,170.57418823242188,171.47844782283033,168.53020080286203,171.2994787308846,4304700
2022-12-23,171.67620849609375,171.94937632734698,169.97131698061142,170.40461123551992,2197800
2022-12-27,172.439208984375,172.94784508746264,171.68566177341165,172.63700632396333,3045000
2022-12-28,171.19583129882812,173.8238105006859,171.09221839135898,173.4093732435251,2694300
2022-12-29,171.41249084472656,172.2413941992703,171.32772055784386,171.3559773201381,2549200
2022-12-30,170.16912841796875,171.39364066071218,168.87867415649572,170.84731937171233,3136200
2023-01-03,168.99172973632812,170.2539129722583,166.31665095705972,170.1032006648502,5137400
2023-01-04,168.5772705078125,170.0560936362913,167.23973117823684,168.99172214821655,4771300
2023-01-05,166.8158721923828,168.3888941659081,166.58980373222857,167.62593287537297,3647100
2023-01-06,170.58360290527344,171.27120807983036,168.4171600889341,168.4265742188506,3713200
2023-01-09,168.91636657714844,172.15660918845612,168.42655878474432,169.96190981076555,3319200
2023-01-10,167.5223388671875,169.10477514870672,166.80646251559884,168.40774143076996,3817300
2023-01-11,167.71070861816406,169.27431651318994,165.47832382302374,168.97289188983777,4369900
2023-01-12,165.572509765625,168.01210583415585,165.13922986906718,167.34334335864216,4246600
2023-01-13,165.0638885498047,165.52542524748827,164.0560161224142,165.21458649061225,4720400
2023-01-17,165.83624267578125,167.23972396613152,165.29934989038625,165.9210129514675,5032600
2023-01-18,161.65411376953125,165.53487734603053,161.3809602384587,165.06391207867006,5032600
2023-01-19,159.7796630859375,162.17216004883753,159.6383648981201,161.3338425429048,4720400
2023-01-20,160.01513671875,160.02455084832278,157.73566693576976,159.13913399610794,5779100
2023-01-23,159.2992706298828,160.84403596897488,158.9225042048234,160.1375881424501,5440400
2023-01-24,160.77810668945312,160.9476472672032,158.66817736135133,159.76082010479962,4125600
2023-01-25,161.94607543945312,161.99317483070038,159.5064793236381,160.448409657718,3852800
2023-01-26,160.33538818359375,161.70118434088553,160.16583324376012,161.67292757969938,4558400
2023-01-27,159.77024841308594,160.3448265987572,158.7906470072577,159.91154661313433,5451400
2023-01-30,159.6383514404297,161.50338387882738,159.3180985713896,159.92093341952477,5191500
2023-01-31,161.0889434814453,161.13604287670483,159.48766465164402,160.31655364279814,4665500
2023-02-01,161.59759521484375,162.31347159752355,159.66663480413374,160.9570893700449,4147700
2023-02-02,160.0998992919922,160.65563473707394,158.72467468660872,159.61951999801383,5653800
2023-02-03,159.2992706298828,161.34325794990158,157.3494821024878,161.0324335542224,5308200
2023-02-06,161.84246826171875,162.36994692101322,159.74195338048568,159.88325154668527,5640000
2023-02-07,161.59759521484375,162.04030370222134,159.431152177772,160.40133944856484,6044700
2023-02-08,161.2207794189453,161.38090583113714,160.35420534388174,161.07006713474786,5687300
2023-02-09,162.74671936035156,166.2412871676938,162.04968575014226,165.13923041923476,9619400
2023-02-10,165.9681396484375,166.33549194290427,162.6242837321426,163.06699218607923,6176000
2023-02-13,167.4469757080078,167.88025565486717,165.81742572409553,166.0246515674518,5205100
2023-02-14,165.56309509277344,166.9571479312522,164.63999303794333,166.8158641334292,5203000
2023-02-15,165.78915405273438,165.82683931507452,164.45161469398658,164.83780958303305,4125500
2023-02-16,165.3181915283203,166.6274741476255,164.40451793361996,164.59291550290314,4973200
2023-02-17,166.04348754882812,166.1753572281616,164.6776913615776,164.9885301141602,3952100
2023-02-21,165.9492645263672,167.10784908208424,164.52695502321367,165.38411500006336,5797300
2023-02-22,165.89276123046875,167.12668763420098,165.56309424632852,166.45792516430325,5299500
2023-02-23,166.0717315673828,166.7122516555084,164.82839102517525,166.4014129267775,3801400
2023-02-24,165.74208068847656,166.09059033968927,164.16904426128156,165.27111548512218,2959100
2023-02-27,165.69496154785156,166.95714469297573,165.45005047275401,166.6934053603443,3208500
2023-02-28,163.4531707763672,164.89432304697897,163.14233203939182,164.7247824846559,4317100
2023-03-01,161.3809356689453,162.4453216104022,159.29926318014077,162.3134519305266,5359100
2023-03-02,164.35858154296875,164.7758194045895,161.00160739973003,161.69385905701452,4476300
2023-03-03,164.19735717773438,164.48184871674846,162.47146692210632,164.05511864314772,3627100
2023-03-06,164.52926635742188,164.68099710751616,163.3154492963492,163.3154492963492,3611400
2023-03-07,163.71376037597656,165.24999469805215,162.98356867419355,164.6905037375238,4094900
2023-03-08,164.159423828125,164.396497687592,162.89818915937974,163.75164926552492,2920200
2023-03-09,162.9171600341797,165.3447940535742,162.34817698032904,164.6430502164704,4042100
2023-03-10,163.13528442382812,165.23102398322803,162.12061569649148,163.60943220497506,4129900
2023-03-13,164.7283935546875,168.066382807704,163.68526286947053,163.82750138570972,8265100
2023-03-14,164.55772399902344,164.82324559279814,162.69907284260063,163.57150300355198,6480800
2023-03-15,167.49745178222656,167.52589949184497,164.2353126941228,164.55772971635946,7099800
2023-03-16,167.38363647460938,167.84830648702138,166.2551769641938,167.47847181423347,4734400
2023-03-17,166.07501220703125,167.5543510202732,165.22153748950075,167.38365028883013,8854600
2023-03-20,168.4077911376953,168.49313425829433,166.43533479919859,167.37415253530986,4367000
2023-03-21,168.8060760498047,168.9578068019409,167.1655288931248,168.47418130807782,3812000
2023-03-22,167.38363647460938,170.0957622316679,167.29829335085245,168.64487124843518,4380800
2023-03-23,166.568115234375,168.05694626190922,165.97069884987664,166.9569199005283,4655600
2023-03-24,169.8302459716797,170.06731985833505,167.26985088977003,167.40261168750337,3713800
2023-03-27,170.20957946777344,171.3095913473996,170.0388787384493,170.29492259751436,4078600
2023-03-28,170.15264892578125,171.12940657035043,170.05782806085878,170.05782806085878,2850000
2023-03-29,171.32855224609375,171.55614838320366,170.68371822904456,171.30958228387422,4496000
2023-03-30,171.48028564453125,171.9544334184298,170.76906398368342,171.64149415127574,2743000
2023-03-31,172.874267578125,173.05444603312392,171.94494206637552,172.74150679073222,4479800
2023-04-03,173.06393432617188,173.31048595497307,171.07250792407112,172.49495121990267,3902300
2023-04-04,172.44754028320312,173.8794612609609,171.73631866719296,172.76046506078768,3306400
2023-04-05,174.14498901367188,175.3967460477497,173.59497587474445,173.77515433902911,3826300
2023-04-06,174.8277587890625,175.18811570906178,173.63291166936528,173.82256787521294,3389700
2023-04-10,173.72772216796875,174.3915260837352,172.29580125896968,174.32515292707862,2408100
2023-04-11,173.4622344970703,174.37260466646967,173.31050372386326,173.93638231096014,3586700
2023-04-12,173.12083435058594,174.27775608624202,172.8268650434645,173.24411740318857,3620900
2023-04-13,174.8467254638672,175.06482937300007,172.69409066986637,173.17771615616297,4303600
2023-04-14,174.02171325683594,174.50535325383063,173.46222234839303,173.86050474778503,2572900
2023-04-17,174.91310119628906,175.19759273881826,173.99325340835455,174.66654957667893,3224400
2023-04-18,175.27346801757812,175.64330270280905,174.23982934216883,175.21657259982592,2438600
2023-04-19,175.16915893554688,175.7381420657681,174.7329366063983,175.66227668374913,2209900
2023-04-20,175.7476348876953,176.4209166973734,174.67605617079184,175.2829648091612,3868200
2023-04-21,175.82347106933594,176.7433188563859,175.55794948852161,176.37348419240587,3781800
2023-04-24,175.90882873535156,176.9235119436619,175.45365091201265,176.85712430804887,3540200
2023-04-25,179.90115356445312,180.34683915675276,176.6105668774994,176.91401392649507,6231600
2023-04-26,178.7916259765625,179.626130641186,178.15626973230266,178.73473056212742,4481700
2023-04-27,179.88218688964844,180.12873852582857,177.81489504685126,178.45025133495702,4574500
2023-04-28,181.02012634277344,181.71237800211298,179.8347569748026,180.0813085941978,4607500
2023-05-01,181.76925659179688,182.38565728799142,180.44164881049102,180.60285729323246,3137800
2023-05-02,182.30979919433594,182.5468730554469,179.93906058322622,181.46581682757449,3712200
2023-05-03,182.24342346191406,183.25810659921612,181.86411104731656,182.6227503463527,3389600
2023-05-04,183.3813934326172,183.92191435807365,182.22447173340836,183.09690188087313,4267600
2023-05-05,184.22537231445312,184.42450626793968,182.442572129802,182.85034672239058,4146500
2023-05-08,183.35293579101562,183.96932206153295,182.68911738296234,183.40033898887032,2249900
2023-05-09,184.1020965576172,184.60469203896204,182.7460408735694,183.8365749625611,3087600
2023-05-10,184.22537231445312,185.4676371142443,182.70809371434478,184.07364156047407,4352900
2023-05-11,185.24005126953125,185.41075199469685,183.02104313127168,184.23486029082434,3690200
